Zone #	Zone Name	Section #	Section Name	Artifact #	Artifact name
01	Trial Management	01.01	Trial Oversight	01.01.01	Trial Master File Plan
01	Trial Management	01.01	Trial Oversight	01.01.02	Trial Management Plan
01	Trial Management	01.01	Trial Oversight	01.01.03	Quality Plan 
01	Trial Management	01.01	Trial Oversight	01.01.04	List of SOPs Current During Trial
01	Trial Management	01.01	Trial Oversight	01.01.05	Operational Procedure Manual
01	Trial Management	01.01	Trial Oversight	01.01.06	Recruitment Plan
01	Trial Management	01.01	Trial Oversight	01.01.07	Communication Plan
01	Trial Management	01.01	Trial Oversight	01.01.08	Monitoring Plan
01	Trial Management	01.01	Trial Oversight	01.01.09	Medical Monitoring Plan
01	Trial Management	01.01	Trial Oversight	01.01.10	Publication Policy
01	Trial Management	01.01	Trial Oversight	01.01.11	Debarment Statement
01	Trial Management	01.01	Trial Oversight	01.01.12	Trial Status Report
01	Trial Management	01.01	Trial Oversight	01.01.13	Investigator Newsletter
01	Trial Management	01.01	Trial Oversight	01.01.14	Audit Certificate
01	Trial Management	01.01	Trial Oversight	01.01.15	Filenote Master List
01	Trial Management	01.01	Trial Oversight	01.01.16	Risk Management Plan
01	Trial Management	01.01	Trial Oversight	01.01.17	Vendor Management Plan
01	Trial Management	01.01	Trial Oversight	01.01.18	Roles and Responsibility Matrix
01	Trial Management	01.01	Trial Oversight	01.01.19	Transfer of Regulatory Obligations 
01	Trial Management	01.01	Trial Oversight	01.01.20	Operational Oversight
01	Trial Management	01.02	Trial Team	01.02.01	Trial Team Details
01	Trial Management	01.02	Trial Team	01.02.02	Trial Team Curriculum Vitae
01	Trial Management	01.03	Trial Committee	01.03.01	Committee Process
01	Trial Management	01.03	Trial Committee	01.03.02	Committee Member List
01	Trial Management	01.03	Trial Committee	01.03.03	Committee Output
01	Trial Management	01.03	Trial Committee	01.03.04	Committee Member Curriculum Vitae
01	Trial Management	01.03	Trial Committee	01.03.05	Committee Member Financial Disclosure Form
01	Trial Management	01.03	Trial Committee	01.03.06	Committee Member Contract
01	Trial Management	01.03	Trial Committee	01.03.07	Committee Member Confidentiality Disclosure Agreement
01	Trial Management	01.04	Meetings	01.04.01	Kick-off Meeting Material
01	Trial Management	01.04	Meetings	01.04.02	Trial Team Training Material
01	Trial Management	01.04	Meetings	01.04.03	Investigators Meeting Material
